job1: (g=0): rw=read, bs=(R) 128KiB-128KiB, (W) 128KiB-128KiB, (T) 128KiB-128KiB, ioengine=libaio, iodepth=8
fio-3.16
Starting 1 thread
Jobs: 1 (f=1): [R(1)][21.6%][r=3411MiB/s][r=27.3k IOPS][eta 03m:31s]Jobs: 1 (f=1): [R(1)][22.2%][r=3408MiB/s][r=27.3k IOPS][eta 03m:30s] 
Jobs: 1 (f=1): [R(1)][22.3%][r=3407MiB/s][r=27.3k IOPS][eta 03m:29s]Jobs: 1 (f=1): [R(1)][22.6%][r=3409MiB/s][r=27.3k IOPS][eta 03m:29s] 
Jobs: 1 (f=1): [R(1)][23.0%][r=3406MiB/s][r=27.2k IOPS][eta 03m:28s]Jobs: 1 (f=1): [R(1)][23.3%][r=3404MiB/s][r=27.2k IOPS][eta 03m:27s] 
Jobs: 1 (f=1): [R(1)][23.7%][r=3403MiB/s][r=27.2k IOPS][eta 03m:26s]Jobs: 1 (f=1): [R(1)][24.0%][r=3411MiB/s][r=27.3k IOPS][eta 03m:26s] 
Jobs: 1 (f=1): [R(1)][24.4%][r=3388MiB/s][r=27.1k IOPS][eta 03m:25s]Jobs: 1 (f=1): [R(1)][24.7%][r=3409MiB/s][r=27.3k IOPS][eta 03m:24s] 
Jobs: 1 (f=1): [R(1)][25.4%][r=3404MiB/s][r=27.2k IOPS][eta 03m:23s]Jobs: 1 (f=1): [R(1)][25.4%][r=3404MiB/s][r=27.2k IOPS][eta 03m:23s] 
Jobs: 1 (f=1): [R(1)][26.0%][r=3409MiB/s][r=27.3k IOPS][eta 03m:22s]Jobs: 1 (f=1): [R(1)][26.1%][r=3412MiB/s][r=27.3k IOPS][eta 03m:21s] 
Jobs: 1 (f=1): [R(1)][26.7%][r=3403MiB/s][r=27.2k IOPS][eta 03m:20s]Jobs: 1 (f=1): [R(1)][26.8%][r=3414MiB/s][r=27.3k IOPS][eta 03m:19s] 
Jobs: 1 (f=1): [R(1)][27.4%][r=3407MiB/s][r=27.3k IOPS][eta 03m:19s]Jobs: 1 (f=1): [R(1)][27.5%][r=3415MiB/s][r=27.3k IOPS][eta 03m:18s] 
Jobs: 1 (f=1): [R(1)][28.1%][r=3399MiB/s][r=27.2k IOPS][eta 03m:17s]Jobs: 1 (f=1): [R(1)][28.2%][r=3400MiB/s][r=27.2k IOPS][eta 03m:16s] 
Jobs: 1 (f=1): [R(1)][28.8%][r=3392MiB/s][r=27.1k IOPS][eta 03m:15s]Jobs: 1 (f=1): [R(1)][28.9%][r=3402MiB/s][r=27.2k IOPS][eta 03m:14s] 
Jobs: 1 (f=1): [R(1)][29.5%][r=3402MiB/s][r=27.2k IOPS][eta 03m:14s]Jobs: 1 (f=1): [R(1)][29.6%][r=3403MiB/s][r=27.2k IOPS][eta 03m:13s] 
Jobs: 1 (f=1): [R(1)][30.2%][r=3394MiB/s][r=27.1k IOPS][eta 03m:12s]Jobs: 1 (f=1): [R(1)][30.3%][r=3396MiB/s][r=27.2k IOPS][eta 03m:11s] 
Jobs: 1 (f=1): [R(1)][30.9%][r=3405MiB/s][r=27.2k IOPS][eta 03m:10s]Jobs: 1 (f=1): [R(1)][31.0%][r=3425MiB/s][r=27.4k IOPS][eta 03m:09s] 
Jobs: 1 (f=1): [R(1)][31.6%][r=3415MiB/s][r=27.3k IOPS][eta 03m:08s]Jobs: 1 (f=1): [R(1)][31.6%][r=3414MiB/s][r=27.3k IOPS][eta 03m:08s] 
Jobs: 1 (f=1): [R(1)][32.2%][r=3416MiB/s][r=27.3k IOPS][eta 03m:07s]Jobs: 1 (f=1): [R(1)][32.4%][r=3420MiB/s][r=27.4k IOPS][eta 03m:06s] 
Jobs: 1 (f=1): [R(1)][33.0%][r=3426MiB/s][r=27.4k IOPS][eta 03m:05s]Jobs: 1 (f=1): [R(1)][33.1%][r=3420MiB/s][r=27.4k IOPS][eta 03m:04s] 
Jobs: 1 (f=1): [R(1)][33.7%][r=3410MiB/s][r=27.3k IOPS][eta 03m:03s]Jobs: 1 (f=1): [R(1)][33.8%][r=3411MiB/s][r=27.3k IOPS][eta 03m:02s] 
Jobs: 1 (f=1): [R(1)][34.4%][r=3412MiB/s][r=27.3k IOPS][eta 03m:01s]Jobs: 1 (f=1): [R(1)][34.8%][r=3413MiB/s][r=27.3k IOPS][eta 03m:00s] 
Jobs: 1 (f=1): [R(1)][34.8%][r=3419MiB/s][r=27.4k IOPS][eta 03m:00s]Jobs: 1 (f=1): [R(1)][35.4%][r=3414MiB/s][r=27.3k IOPS][eta 02m:59s] 
Jobs: 1 (f=1): [R(1)][35.5%][r=3404MiB/s][r=27.2k IOPS][eta 02m:58s]Jobs: 1 (f=1): [R(1)][36.1%][r=3418MiB/s][r=27.3k IOPS][eta 02m:57s] 
Jobs: 1 (f=1): [R(1)][36.2%][r=3409MiB/s][r=27.3k IOPS][eta 02m:56s]Jobs: 1 (f=1): [R(1)][36.8%][r=3393MiB/s][r=27.1k IOPS][eta 02m:55s] 
Jobs: 1 (f=1): [R(1)][37.0%][r=3399MiB/s][r=27.2k IOPS][eta 02m:54s]Jobs: 1 (f=1): [R(1)][37.5%][r=3414MiB/s][r=27.3k IOPS][eta 02m:53s] 
Jobs: 1 (f=1): [R(1)][37.7%][r=3400MiB/s][r=27.2k IOPS][eta 02m:52s]Jobs: 1 (f=1): [R(1)][38.3%][r=3375MiB/s][r=27.0k IOPS][eta 02m:51s] 
Jobs: 1 (f=1): [R(1)][38.3%][r=3384MiB/s][r=27.1k IOPS][eta 02m:51s]Jobs: 1 (f=1): [R(1)][38.8%][r=3407MiB/s][r=27.3k IOPS][eta 02m:50s] 
Jobs: 1 (f=1): [R(1)][39.0%][r=3416MiB/s][r=27.3k IOPS][eta 02m:49s]Jobs: 1 (f=1): [R(1)][39.6%][r=3410MiB/s][r=27.3k IOPS][eta 02m:48s] 
Jobs: 1 (f=1): [R(1)][39.7%][r=3401MiB/s][r=27.2k IOPS][eta 02m:47s]Jobs: 1 (f=1): [R(1)][40.3%][r=3408MiB/s][r=27.3k IOPS][eta 02m:46s] 
Jobs: 1 (f=1): [R(1)][40.4%][r=3420MiB/s][r=27.4k IOPS][eta 02m:45s]Jobs: 1 (f=1): [R(1)][41.0%][r=3419MiB/s][r=27.4k IOPS][eta 02m:44s] 
Jobs: 1 (f=1): [R(1)][41.2%][r=3407MiB/s][r=27.3k IOPS][eta 02m:43s]Jobs: 1 (f=1): [R(1)][41.7%][r=3393MiB/s][r=27.1k IOPS][eta 02m:42s] 
Jobs: 1 (f=1): [R(1)][41.9%][r=3390MiB/s][r=27.1k IOPS][eta 02m:41s]Jobs: 1 (f=1): [R(1)][42.4%][r=3415MiB/s][r=27.3k IOPS][eta 02m:40s] 
