job1: (g=0): rw=write, bs=(R) 128KiB-128KiB, (W) 128KiB-128KiB, (T) 128KiB-128KiB, ioengine=libaio, iodepth=8
fio-3.16
Starting 1 thread
Jobs: 1 (f=1): [W(1)][2.0%][w=439MiB/s][w=3512 IOPS][eta 48m:46s]Jobs: 1 (f=1): [W(1)][2.1%][w=437MiB/s][w=3495 IOPS][eta 48m:29s] 
Jobs: 1 (f=1): [W(1)][2.1%][w=436MiB/s][w=3490 IOPS][eta 48m:12s]Jobs: 1 (f=1): [W(1)][2.2%][w=438MiB/s][w=3503 IOPS][eta 47m:56s] 
Jobs: 1 (f=1): [W(1)][2.2%][w=441MiB/s][w=3528 IOPS][eta 47m:40s]Jobs: 1 (f=1): [W(1)][2.3%][w=432MiB/s][w=3458 IOPS][eta 47m:26s] 
Jobs: 1 (f=1): [W(1)][2.3%][w=441MiB/s][w=3524 IOPS][eta 47m:12s]Jobs: 1 (f=1): [W(1)][2.4%][w=439MiB/s][w=3512 IOPS][eta 46m:58s] 
Jobs: 1 (f=1): [W(1)][2.4%][w=433MiB/s][w=3461 IOPS][eta 46m:45s]Jobs: 1 (f=1): [W(1)][2.4%][w=441MiB/s][w=3528 IOPS][eta 46m:32s] 
Jobs: 1 (f=1): [W(1)][2.5%][w=440MiB/s][w=3517 IOPS][eta 46m:19s]Jobs: 1 (f=1): [W(1)][2.5%][w=434MiB/s][w=3473 IOPS][eta 46m:07s] 
Jobs: 1 (f=1): [W(1)][2.6%][w=441MiB/s][w=3526 IOPS][eta 45m:55s]Jobs: 1 (f=1): [W(1)][2.6%][w=438MiB/s][w=3500 IOPS][eta 45m:44s] 
Jobs: 1 (f=1): [W(1)][2.7%][w=438MiB/s][w=3503 IOPS][eta 45m:33s]Jobs: 1 (f=1): [W(1)][2.7%][w=436MiB/s][w=3489 IOPS][eta 45m:23s] 
Jobs: 1 (f=1): [W(1)][2.8%][w=439MiB/s][w=3509 IOPS][eta 45m:12s]Jobs: 1 (f=1): [W(1)][2.8%][w=443MiB/s][w=3541 IOPS][eta 45m:02s] 
Jobs: 1 (f=1): [W(1)][2.9%][w=434MiB/s][w=3471 IOPS][eta 44m:52s]Jobs: 1 (f=1): [W(1)][2.9%][w=439MiB/s][w=3508 IOPS][eta 44m:43s] 
Jobs: 1 (f=1): [W(1)][2.9%][w=442MiB/s][w=3536 IOPS][eta 44m:33s]Jobs: 1 (f=1): [W(1)][3.0%][w=432MiB/s][w=3459 IOPS][eta 44m:25s] 
Jobs: 1 (f=1): [W(1)][3.0%][w=441MiB/s][w=3530 IOPS][eta 44m:16s]Jobs: 1 (f=1): [W(1)][3.1%][w=440MiB/s][w=3521 IOPS][eta 44m:07s] 
Jobs: 1 (f=1): [W(1)][3.1%][w=433MiB/s][w=3467 IOPS][eta 43m:59s]Jobs: 1 (f=1): [W(1)][3.2%][w=440MiB/s][w=3520 IOPS][eta 43m:51s] 
Jobs: 1 (f=1): [W(1)][3.2%][w=441MiB/s][w=3525 IOPS][eta 43m:43s]Jobs: 1 (f=1): [W(1)][3.3%][w=438MiB/s][w=3500 IOPS][eta 43m:35s] 
