job1: (g=0): rw=write, bs=(R) 128KiB-128KiB, (W) 128KiB-128KiB, (T) 128KiB-128KiB, ioengine=libaio, iodepth=8
fio-3.16
Starting 1 thread
Jobs: 1 (f=1): [W(1)][5.4%][w=440MiB/s][w=3520 IOPS][eta 17m:42s]Jobs: 1 (f=1): [W(1)][5.5%][w=441MiB/s][w=3526 IOPS][eta 17m:41s] 
Jobs: 1 (f=1): [W(1)][5.5%][w=433MiB/s][w=3464 IOPS][eta 17m:40s]Jobs: 1 (f=1): [W(1)][5.6%][w=443MiB/s][w=3544 IOPS][eta 17m:39s] 
Jobs: 1 (f=1): [W(1)][5.8%][w=441MiB/s][w=3525 IOPS][eta 17m:37s]Jobs: 1 (f=1): [W(1)][5.9%][w=435MiB/s][w=3481 IOPS][eta 17m:36s] 
Jobs: 1 (f=1): [W(1)][5.9%][w=443MiB/s][w=3541 IOPS][eta 17m:35s]Jobs: 1 (f=1): [W(1)][6.0%][w=443MiB/s][w=3547 IOPS][eta 17m:34s] 
Jobs: 1 (f=1): [W(1)][6.1%][w=437MiB/s][w=3494 IOPS][eta 17m:33s]Jobs: 1 (f=1): [W(1)][6.2%][w=441MiB/s][w=3525 IOPS][eta 17m:32s] 
Jobs: 1 (f=1): [W(1)][6.2%][w=443MiB/s][w=3541 IOPS][eta 17m:30s]Jobs: 1 (f=1): [W(1)][6.3%][w=440MiB/s][w=3519 IOPS][eta 17m:29s] 
Jobs: 1 (f=1): [W(1)][6.5%][w=438MiB/s][w=3506 IOPS][eta 17m:28s]Jobs: 1 (f=1): [W(1)][6.6%][w=442MiB/s][w=3538 IOPS][eta 17m:27s] 
Jobs: 1 (f=1): [W(1)][6.6%][w=442MiB/s][w=3537 IOPS][eta 17m:26s]Jobs: 1 (f=1): [W(1)][6.8%][w=439MiB/s][w=3511 IOPS][eta 17m:25s] 
Jobs: 1 (f=1): [W(1)][6.9%][w=441MiB/s][w=3529 IOPS][eta 17m:23s]Jobs: 1 (f=1): [W(1)][7.0%][w=445MiB/s][w=3559 IOPS][eta 17m:22s] 
Jobs: 1 (f=1): [W(1)][7.0%][w=437MiB/s][w=3494 IOPS][eta 17m:21s]Jobs: 1 (f=1): [W(1)][7.1%][w=440MiB/s][w=3519 IOPS][eta 17m:20s] 
Jobs: 1 (f=1): [W(1)][7.2%][w=446MiB/s][w=3571 IOPS][eta 17m:19s]Jobs: 1 (f=1): [W(1)][7.3%][w=435MiB/s][w=3482 IOPS][eta 17m:18s] 
Jobs: 1 (f=1): [W(1)][7.3%][w=442MiB/s][w=3536 IOPS][eta 17m:17s]Jobs: 1 (f=1): [W(1)][7.5%][w=441MiB/s][w=3530 IOPS][eta 17m:15s] 
Jobs: 1 (f=1): [W(1)][7.6%][w=436MiB/s][w=3490 IOPS][eta 17m:14s]Jobs: 1 (f=1): [W(1)][7.7%][w=445MiB/s][w=3558 IOPS][eta 17m:13s] 
Jobs: 1 (f=1): [W(1)][7.7%][w=444MiB/s][w=3550 IOPS][eta 17m:12s]Jobs: 1 (f=1): [W(1)][7.9%][w=437MiB/s][w=3492 IOPS][eta 17m:11s] 
Jobs: 1 (f=1): [W(1)][8.0%][w=443MiB/s][w=3544 IOPS][eta 17m:10s]Jobs: 1 (f=1): [W(1)][8.0%][w=444MiB/s][w=3553 IOPS][eta 17m:09s] 
Jobs: 1 (f=1): [W(1)][8.1%][w=438MiB/s][w=3501 IOPS][eta 17m:08s]Jobs: 1 (f=1): [W(1)][8.2%][w=440MiB/s][w=3518 IOPS][eta 17m:07s] 
Jobs: 1 (f=1): [W(1)][8.3%][w=444MiB/s][w=3555 IOPS][eta 17m:05s]Jobs: 1 (f=1): [W(1)][8.4%][w=438MiB/s][w=3503 IOPS][eta 17m:04s] 
Jobs: 1 (f=1): [W(1)][8.5%][w=436MiB/s][w=3486 IOPS][eta 17m:03s]Jobs: 1 (f=1): [W(1)][8.6%][w=441MiB/s][w=3526 IOPS][eta 17m:02s] 
Jobs: 1 (f=1): [W(1)][8.7%][w=443MiB/s][w=3541 IOPS][eta 17m:01s]Jobs: 1 (f=1): [W(1)][8.8%][w=433MiB/s][w=3463 IOPS][eta 17m:00s] 
Jobs: 1 (f=1): [W(1)][8.9%][w=439MiB/s][w=3510 IOPS][eta 16m:59s]Jobs: 1 (f=1): [W(1)][8.9%][w=440MiB/s][w=3516 IOPS][eta 16m:58s] 
Jobs: 1 (f=1): [W(1)][9.0%][w=432MiB/s][w=3452 IOPS][eta 16m:57s]Jobs: 1 (f=1): [W(1)][9.0%][w=442MiB/s][w=3533 IOPS][eta 16m:56s] 
Jobs: 1 (f=1): [W(1)][9.2%][w=440MiB/s][w=3517 IOPS][eta 16m:55s]Jobs: 1 (f=1): [W(1)][9.3%][w=433MiB/s][w=3467 IOPS][eta 16m:54s] 
Jobs: 1 (f=1): [W(1)][9.4%][w=438MiB/s][w=3504 IOPS][eta 16m:53s]Jobs: 1 (f=1): [W(1)][9.5%][w=442MiB/s][w=3539 IOPS][eta 16m:52s] 
Jobs: 1 (f=1): [W(1)][9.6%][w=436MiB/s][w=3486 IOPS][eta 16m:51s]Jobs: 1 (f=1): [W(1)][9.7%][w=435MiB/s][w=3481 IOPS][eta 16m:50s] 
