job1: (g=0): rw=read, bs=(R) 128KiB-128KiB, (W) 128KiB-128KiB, (T) 128KiB-128KiB, ioengine=libaio, iodepth=8
fio-3.16
Starting 1 thread
Jobs: 1 (f=1): [R(1)][20.1%][r=3409MiB/s][r=27.3k IOPS][eta 03m:50s]Jobs: 1 (f=1): [R(1)][20.8%][r=3401MiB/s][r=27.2k IOPS][eta 03m:49s] 
Jobs: 1 (f=1): [R(1)][20.9%][r=3407MiB/s][r=27.3k IOPS][eta 03m:47s]Jobs: 1 (f=1): [R(1)][21.5%][r=3409MiB/s][r=27.3k IOPS][eta 03m:46s] 
Jobs: 1 (f=1): [R(1)][21.6%][r=3419MiB/s][r=27.3k IOPS][eta 03m:45s]Jobs: 1 (f=1): [R(1)][22.2%][r=3417MiB/s][r=27.3k IOPS][eta 03m:44s] 
Jobs: 1 (f=1): [R(1)][22.3%][r=3410MiB/s][r=27.3k IOPS][eta 03m:43s]Jobs: 1 (f=1): [R(1)][22.9%][r=3404MiB/s][r=27.2k IOPS][eta 03m:42s] 
Jobs: 1 (f=1): [R(1)][23.0%][r=3410MiB/s][r=27.3k IOPS][eta 03m:41s]Jobs: 1 (f=1): [R(1)][23.6%][r=3419MiB/s][r=27.3k IOPS][eta 03m:40s] 
Jobs: 1 (f=1): [R(1)][23.7%][r=3406MiB/s][r=27.3k IOPS][eta 03m:39s]Jobs: 1 (f=1): [R(1)][24.3%][r=3410MiB/s][r=27.3k IOPS][eta 03m:38s] 
Jobs: 1 (f=1): [R(1)][24.4%][r=3419MiB/s][r=27.3k IOPS][eta 03m:37s]Jobs: 1 (f=1): [R(1)][24.7%][r=3411MiB/s][r=27.3k IOPS][eta 03m:36s] 
Jobs: 1 (f=1): [R(1)][25.3%][r=3405MiB/s][r=27.2k IOPS][eta 03m:35s]Jobs: 1 (f=1): [R(1)][25.4%][r=3407MiB/s][r=27.3k IOPS][eta 03m:34s] 
Jobs: 1 (f=1): [R(1)][26.0%][r=3409MiB/s][r=27.3k IOPS][eta 03m:33s]Jobs: 1 (f=1): [R(1)][26.1%][r=3406MiB/s][r=27.2k IOPS][eta 03m:32s] 
Jobs: 1 (f=1): [R(1)][26.7%][r=3397MiB/s][r=27.2k IOPS][eta 03m:31s]Jobs: 1 (f=1): [R(1)][26.8%][r=3409MiB/s][r=27.3k IOPS][eta 03m:30s] 
Jobs: 1 (f=1): [R(1)][27.4%][r=3393MiB/s][r=27.1k IOPS][eta 03m:29s]Jobs: 1 (f=1): [R(1)][27.5%][r=3404MiB/s][r=27.2k IOPS][eta 03m:28s] 
Jobs: 1 (f=1): [R(1)][28.1%][r=3400MiB/s][r=27.2k IOPS][eta 03m:27s]Jobs: 1 (f=1): [R(1)][28.2%][r=3402MiB/s][r=27.2k IOPS][eta 03m:26s] 
Jobs: 1 (f=1): [R(1)][28.8%][r=3413MiB/s][r=27.3k IOPS][eta 03m:25s]Jobs: 1 (f=1): [R(1)][29.2%][r=3412MiB/s][r=27.3k IOPS][eta 03m:24s] 
Jobs: 1 (f=1): [R(1)][29.3%][r=3409MiB/s][r=27.3k IOPS][eta 03m:23s]Jobs: 1 (f=1): [R(1)][29.9%][r=3415MiB/s][r=27.3k IOPS][eta 03m:22s] 
Jobs: 1 (f=1): [R(1)][30.0%][r=3405MiB/s][r=27.2k IOPS][eta 03m:21s]Jobs: 1 (f=1): [R(1)][30.6%][r=3421MiB/s][r=27.4k IOPS][eta 03m:20s] 
Jobs: 1 (f=1): [R(1)][30.7%][r=3414MiB/s][r=27.3k IOPS][eta 03m:19s]Jobs: 1 (f=1): [R(1)][31.2%][r=3416MiB/s][r=27.3k IOPS][eta 03m:18s] 
Jobs: 1 (f=1): [R(1)][31.4%][r=3425MiB/s][r=27.4k IOPS][eta 03m:17s]Jobs: 1 (f=1): [R(1)][31.9%][r=3411MiB/s][r=27.3k IOPS][eta 03m:16s] 
Jobs: 1 (f=1): [R(1)][32.1%][r=3399MiB/s][r=27.2k IOPS][eta 03m:15s]Jobs: 1 (f=1): [R(1)][32.6%][r=3391MiB/s][r=27.1k IOPS][eta 03m:14s] 
Jobs: 1 (f=1): [R(1)][32.8%][r=3389MiB/s][r=27.1k IOPS][eta 03m:13s]Jobs: 1 (f=1): [R(1)][33.3%][r=3395MiB/s][r=27.2k IOPS][eta 03m:12s] 
Jobs: 1 (f=1): [R(1)][33.4%][r=3387MiB/s][r=27.1k IOPS][eta 03m:11s]Jobs: 1 (f=1): [R(1)][34.0%][r=3391MiB/s][r=27.1k IOPS][eta 03m:10s] 
Jobs: 1 (f=1): [R(1)][34.1%][r=3395MiB/s][r=27.2k IOPS][eta 03m:09s]Jobs: 1 (f=1): [R(1)][34.7%][r=3391MiB/s][r=27.1k IOPS][eta 03m:08s] 
Jobs: 1 (f=1): [R(1)][35.1%][r=3404MiB/s][r=27.2k IOPS][eta 03m:07s]Jobs: 1 (f=1): [R(1)][35.4%][r=3399MiB/s][r=27.2k IOPS][eta 03m:06s] 
Jobs: 1 (f=1): [R(1)][35.8%][r=3409MiB/s][r=27.3k IOPS][eta 03m:05s]Jobs: 1 (f=1): [R(1)][36.1%][r=3406MiB/s][r=27.2k IOPS][eta 03m:04s] 
Jobs: 1 (f=1): [R(1)][36.5%][r=3410MiB/s][r=27.3k IOPS][eta 03m:03s]Jobs: 1 (f=1): [R(1)][36.6%][r=3412MiB/s][r=27.3k IOPS][eta 03m:02s] 
Jobs: 1 (f=1): [R(1)][37.2%][r=3396MiB/s][r=27.2k IOPS][eta 03m:01s]Jobs: 1 (f=1): [R(1)][37.3%][r=3398MiB/s][r=27.2k IOPS][eta 03m:00s] 
Jobs: 1 (f=1): [R(1)][37.8%][r=3395MiB/s][r=27.2k IOPS][eta 02m:59s]Jobs: 1 (f=1): [R(1)][38.0%][r=3419MiB/s][r=27.3k IOPS][eta 02m:58s] 
Jobs: 1 (f=1): [R(1)][38.5%][r=3409MiB/s][r=27.3k IOPS][eta 02m:57s]Jobs: 1 (f=1): [R(1)][38.7%][r=3409MiB/s][r=27.3k IOPS][eta 02m:56s] 
Jobs: 1 (f=1): [R(1)][39.2%][r=3412MiB/s][r=27.3k IOPS][eta 02m:55s]Jobs: 1 (f=1): [R(1)][39.4%][r=3404MiB/s][r=27.2k IOPS][eta 02m:54s] 
Jobs: 1 (f=1): [R(1)][39.9%][r=3393MiB/s][r=27.1k IOPS][eta 02m:53s]Jobs: 1 (f=1): [R(1)][40.1%][r=3405MiB/s][r=27.2k IOPS][eta 02m:52s] 
Jobs: 1 (f=1): [R(1)][40.6%][r=3400MiB/s][r=27.2k IOPS][eta 02m:51s]Jobs: 1 (f=1): [R(1)][40.8%][r=3383MiB/s][r=27.1k IOPS][eta 02m:50s] 
Jobs: 1 (f=1): [R(1)][41.3%][r=3380MiB/s][r=27.0k IOPS][eta 02m:49s]Jobs: 1 (f=1): [R(1)][41.5%][r=3405MiB/s][r=27.2k IOPS][eta 02m:48s] 
Jobs: 1 (f=1): [R(1)][42.0%][r=3412MiB/s][r=27.3k IOPS][eta 02m:47s]Jobs: 1 (f=1): [R(1)][42.4%][r=3408MiB/s][r=27.3k IOPS][eta 02m:46s] 
Jobs: 1 (f=1): [R(1)][42.7%][r=3405MiB/s][r=27.2k IOPS][eta 02m:45s]Jobs: 1 (f=1): [R(1)][43.1%][r=3399MiB/s][r=27.2k IOPS][eta 02m:44s] 
Jobs: 1 (f=1): [R(1)][43.4%][r=3408MiB/s][r=27.3k IOPS][eta 02m:43s]Jobs: 1 (f=1): [R(1)][43.8%][r=3410MiB/s][r=27.3k IOPS][eta 02m:42s] 
Jobs: 1 (f=1): [R(1)][43.9%][r=3406MiB/s][r=27.2k IOPS][eta 02m:41s]Jobs: 1 (f=1): [R(1)][44.4%][r=3378MiB/s][r=27.0k IOPS][eta 02m:40s] 
Jobs: 1 (f=1): [R(1)][44.6%][r=3393MiB/s][r=27.1k IOPS][eta 02m:39s]Jobs: 1 (f=1): [R(1)][45.1%][r=3398MiB/s][r=27.2k IOPS][eta 02m:38s] 
Jobs: 1 (f=1): [R(1)][45.3%][r=3388MiB/s][r=27.1k IOPS][eta 02m:37s]Jobs: 1 (f=1): [R(1)][45.8%][r=3394MiB/s][r=27.2k IOPS][eta 02m:36s] 
Jobs: 1 (f=1): [R(1)][46.0%][r=3408MiB/s][r=27.3k IOPS][eta 02m:35s]Jobs: 1 (f=1): [R(1)][46.5%][r=3392MiB/s][r=27.1k IOPS][eta 02m:34s] 
Jobs: 1 (f=1): [R(1)][46.9%][r=3402MiB/s][r=27.2k IOPS][eta 02m:33s]Jobs: 1 (f=1): [R(1)][47.2%][r=3412MiB/s][r=27.3k IOPS][eta 02m:32s] 
Jobs: 1 (f=1): [R(1)][47.6%][r=3400MiB/s][r=27.2k IOPS][eta 02m:31s]Jobs: 1 (f=1): [R(1)][47.9%][r=3394MiB/s][r=27.1k IOPS][eta 02m:30s] 
Jobs: 1 (f=1): [R(1)][48.3%][r=3408MiB/s][r=27.3k IOPS][eta 02m:29s]Jobs: 1 (f=1): [R(1)][48.6%][r=3405MiB/s][r=27.2k IOPS][eta 02m:28s] 
Jobs: 1 (f=1): [R(1)][49.0%][r=3402MiB/s][r=27.2k IOPS][eta 02m:27s]Jobs: 1 (f=1): [R(1)][49.3%][r=3408MiB/s][r=27.3k IOPS][eta 02m:26s] 
Jobs: 1 (f=1): [R(1)][49.7%][r=3406MiB/s][r=27.2k IOPS][eta 02m:25s]Jobs: 1 (f=1): [R(1)][49.8%][r=3388MiB/s][r=27.1k IOPS][eta 02m:24s] 
Jobs: 1 (f=1): [R(1)][50.3%][r=3404MiB/s][r=27.2k IOPS][eta 02m:23s]Jobs: 1 (f=1): [R(1)][50.5%][r=3408MiB/s][r=27.3k IOPS][eta 02m:22s] 
Jobs: 1 (f=1): [R(1)][51.0%][r=3412MiB/s][r=27.3k IOPS][eta 02m:21s]Jobs: 1 (f=1): [R(1)][51.4%][r=3395MiB/s][r=27.2k IOPS][eta 02m:20s] 
Jobs: 1 (f=1): [R(1)][51.7%][r=3408MiB/s][r=27.3k IOPS][eta 02m:19s]Jobs: 1 (f=1): [R(1)][52.1%][r=3414MiB/s][r=27.3k IOPS][eta 02m:18s] 
Jobs: 1 (f=1): [R(1)][52.4%][r=3397MiB/s][r=27.2k IOPS][eta 02m:17s]Jobs: 1 (f=1): [R(1)][52.8%][r=3398MiB/s][r=27.2k IOPS][eta 02m:16s] 
Jobs: 1 (f=1): [R(1)][53.1%][r=3402MiB/s][r=27.2k IOPS][eta 02m:15s]Jobs: 1 (f=1): [R(1)][53.5%][r=3389MiB/s][r=27.1k IOPS][eta 02m:14s] 
Jobs: 1 (f=1): [R(1)][53.8%][r=3376MiB/s][r=27.0k IOPS][eta 02m:13s]Jobs: 1 (f=1): [R(1)][54.2%][r=3390MiB/s][r=27.1k IOPS][eta 02m:12s] 
Jobs: 1 (f=1): [R(1)][54.5%][r=3394MiB/s][r=27.2k IOPS][eta 02m:11s]Jobs: 1 (f=1): [R(1)][54.9%][r=3405MiB/s][r=27.2k IOPS][eta 02m:10s] 
Jobs: 1 (f=1): [R(1)][55.2%][r=3400MiB/s][r=27.2k IOPS][eta 02m:09s]Jobs: 1 (f=1): [R(1)][55.6%][r=3400MiB/s][r=27.2k IOPS][eta 02m:08s] 
Jobs: 1 (f=1): [R(1)][55.9%][r=3387MiB/s][r=27.1k IOPS][eta 02m:07s]Jobs: 1 (f=1): [R(1)][56.2%][r=3398MiB/s][r=27.2k IOPS][eta 02m:06s] 
